Product.Name,concentration,Well.ID,Num.Objects,Percent.Live,Percent.Dead,Median.Certainty.Live,Median.Certainty.Dead
Linifanib (ABT-869),nan,A01,304,0.944078947368,0.0559210526316,0.79,0.56
Y-27632 2HCl,nan,A02,339,0.958702064897,0.0412979351032,0.84,0.615
Cediranib (AZD2171),nan,A03,331,0.776435045317,0.223564954683,0.725,0.6
Avagacestat (BMS-708163),nan,A04,281,0.939501779359,0.0604982206406,0.86,0.57
Motesanib Diphosphate (AMG-706),nan,A05,301,0.940199335548,0.0598006644518,0.86,0.56
TWS119,nan,A06,309,0.957928802589,0.042071197411,0.84,0.57
Sunitinib Malate,nan,A07,315,0.901587301587,0.0984126984127,0.81,0.57
AZ 960,nan,A08,299,0.95652173913,0.0434782608696,0.84,0.56
SL-327,nan,A09,316,0.848101265823,0.151898734177,0.72,0.575
MK-0752,nan,A10,314,0.93949044586,0.0605095541401,0.79,0.55
SU11274,nan,A11,315,0.952380952381,0.047619047619,0.85,0.63
CHIR-98014,nan,A12,625,0.5824,0.4176,0.62,0.61
Vatalanib (PTK787) 2HCl,nan,A13,312,0.964743589744,0.0352564102564,0.84,0.55
WHI-P154,nan,A14,311,0.948553054662,0.0514469453376,0.82,0.58
Foretinib (GSK1363089),nan,A15,331,0.960725075529,0.0392749244713,0.85,0.59
IWR-1-endo,nan,A16,315,0.904761904762,0.0952380952381,0.79,0.57
AT9283,nan,A17,764,0.471204188482,0.528795811518,0.6,0.62
BIO,nan,A18,418,0.906698564593,0.0933014354067,0.77,0.58
Lenvatinib (E7080),nan,A19,265,0.928301886792,0.0716981132075,0.85,0.56
K02288,nan,A20,337,0.93471810089,0.0652818991098,0.84,0.565
WZ8040,nan,A21,344,0.860465116279,0.139534883721,0.79,0.59
Filgotinib (GLPG0634),nan,A22,388,0.932989690722,0.0670103092784,0.81,0.55
DMSO,nan,A23,316,0.930379746835,0.0696202531646,0.81,0.595
DMSO,nan,A24,299,0.933110367893,0.066889632107,0.84,0.53
AG-1024,nan,B01,306,0.93137254902,0.0686274509804,0.82,0.6
GNF-5,nan,B02,277,0.916967509025,0.0830324909747,0.8,0.58
BX-912,nan,B03,335,0.853731343284,0.146268656716,0.71,0.58
DMSO,nan,B04,332,0.939759036145,0.0602409638554,0.85,0.55
Aurora A Inhibitor I,nan,B05,312,0.913461538462,0.0865384615385,0.775,0.57
VX-11e,nan,B06,342,0.666666666667,0.333333333333,0.67,0.58
Pimasertib (AS-703026),nan,B07,405,0.385185185185,0.614814814815,0.57,0.61
DMSO,nan,B08,321,0.947040498442,0.0529595015576,0.83,0.58
Quizartinib (AC220),nan,B09,339,0.799410029499,0.200589970501,0.72,0.59
LJI308,nan,B10,305,0.937704918033,0.0622950819672,0.8,0.56
PHT-427,nan,B11,316,0.908227848101,0.0917721518987,0.81,0.56
DMSO,nan,B12,287,0.923344947735,0.0766550522648,0.82,0.58
BIRB 796 (Doramapimod),nan,B13,325,0.935384615385,0.0646153846154,0.85,0.57
VE-821,nan,B14,361,0.91135734072,0.0886426592798,0.78,0.56
AZD8330,nan,B15,239,0.47280334728,0.52719665272,0.61,0.625
DMSO,nan,B16,341,0.950146627566,0.049853372434,0.87,0.57
GSK461364,nan,B17,379,0.306068601583,0.693931398417,0.57,0.63
BMS-582949,nan,B18,333,0.951951951952,0.048048048048,0.85,0.555
Mubritinib (TAK 165),nan,B19,476,0.703781512605,0.296218487395,0.65,0.6
DMSO,nan,B20,343,0.935860058309,0.064139941691,0.81,0.57
Volasertib (BI 6727),nan,B21,342,0.947368421053,0.0526315789474,0.81,0.58
DMSO,nan,B22,329,0.924012158055,0.0759878419453,0.8,0.58
DMSO,nan,B23,316,0.939873417722,0.0601265822785,0.84,0.55
DMSO,nan,B24,303,0.947194719472,0.0528052805281,0.84,0.56
Axitinib,nan,C01,328,0.890243902439,0.109756097561,0.82,0.56
Enzastaurin (LY317615),nan,C02,314,0.754777070064,0.245222929936,0.66,0.59
"Dovitinib (TKI-258, CHIR-258)",nan,C03,386,0.502590673575,0.497409326425,0.67,0.64
Ruxolitinib (INCB018424),nan,C04,307,0.941368078176,0.0586319218241,0.83,0.575
Nilotinib (AMN-107),nan,C05,286,0.944055944056,0.0559440559441,0.82,0.535
Semagacestat (LY450139),nan,C06,325,0.972307692308,0.0276923076923,0.84,0.57
"Temsirolimus (CCI-779, NSC 683864)",nan,C07,344,0.941860465116,0.0581395348837,0.85,0.605
DAPT (GSI-IX),nan,C08,379,0.931398416887,0.0686015831135,0.8,0.575
Crizotinib (PF-02341066),nan,C09,468,0.220085470085,0.779914529915,0.58,0.66
ICG-001,nan,C10,285,0.859649122807,0.140350877193,0.8,0.6
Brivanib (BMS-540215),nan,C11,329,0.908814589666,0.0911854103343,0.81,0.585
GW788388,nan,C12,281,0.928825622776,0.0711743772242,0.8,0.57
U0126-EtOH,nan,C13,397,0.871536523929,0.128463476071,0.73,0.56
S-Ruxolitinib (INCB018424),nan,C14,314,0.926751592357,0.0732484076433,0.83,0.64
GSK690693,nan,C15,296,0.915540540541,0.0844594594595,0.84,0.57
SANT-1,nan,C16,328,0.920731707317,0.0792682926829,0.815,0.555
Brivanib Alaninate (BMS-582664),nan,C17,291,0.958762886598,0.0412371134021,0.805,0.53
Ro 31-8220 Mesylate,nan,C18,420,0.783333333333,0.216666666667,0.66,0.57
CP-724714,nan,C19,319,0.934169278997,0.0658307210031,0.83,0.53
AR-A014418,nan,C20,304,0.901315789474,0.0986842105263,0.8,0.565
ENMD-2076,nan,C21,438,0.470319634703,0.529680365297,0.61,0.6
STA-21,nan,C22,317,0.94952681388,0.0504731861199,0.825,0.575
DMSO,nan,C23,359,0.899721448468,0.100278551532,0.81,0.58
DMSO,nan,C24,321,0.93769470405,0.0623052959502,0.85,0.545
Amuvatinib (MP-470),nan,D01,320,0.93125,0.06875,0.83,0.56
GNE-7915,nan,D02,333,0.930930930931,0.0690690690691,0.84,0.56
Genistein,nan,D03,316,0.914556962025,0.0854430379747,0.82,0.59
DMSO,nan,D04,301,0.933554817276,0.0664451827243,0.86,0.6
PHA-680632,nan,D05,351,0.923076923077,0.0769230769231,0.8,0.57
FIIN-2,nan,D06,297,0.939393939394,0.0606060606061,0.86,0.575
HMN-214,nan,D07,310,0.764516129032,0.235483870968,0.68,0.57
DMSO,nan,D08,283,0.936395759717,0.0636042402827,0.82,0.595
Hesperadin,nan,D09,291,0.591065292096,0.408934707904,0.64,0.61
ONO-4059,nan,D10,430,0.639534883721,0.360465116279,0.63,0.59
KRN 633,nan,D11,298,0.922818791946,0.0771812080537,0.845,0.58
DMSO,nan,D12,314,0.929936305732,0.0700636942675,0.84,0.565
Tie2 kinase inhibitor,nan,D13,283,0.961130742049,0.0388692579505,0.85,0.53
AG-18,nan,D14,293,0.890784982935,0.109215017065,0.83,0.545
KW-2449,nan,D15,356,0.682584269663,0.317415730337,0.64,0.59
DMSO,nan,D16,301,0.897009966777,0.102990033223,0.84,0.59
R406,nan,D17,337,0.928783382789,0.0712166172107,0.83,0.58
AMG 337,nan,D18,319,0.92789968652,0.0721003134796,0.825,0.57
PP242,nan,D19,323,0.839009287926,0.160990712074,0.78,0.565
DMSO,nan,D20,375,0.925333333333,0.0746666666667,0.82,0.575
Palomid 529 (P529),nan,D21,345,0.933333333333,0.0666666666667,0.8,0.58
DMSO,nan,D22,315,0.914285714286,0.0857142857143,0.8,0.58
DMSO,nan,D23,355,0.943661971831,0.056338028169,0.86,0.585
