Product.Name,concentration,Well.ID,Num.Objects,Percent.Live,Percent.Dead,Median.Certainty.Live,Median.Certainty.Dead
Chrysophanic Acid,nan,A01,176,0.971590909091,0.0284090909091,0.82,0.54
Anacardic Acid,nan,A02,180,0.988888888889,0.0111111111111,0.8,0.52
LY2603618,nan,A03,152,0.960526315789,0.0394736842105,0.74,0.525
DMSO,nan,A04,176,0.977272727273,0.0227272727273,0.82,0.585
PF-00562271,nan,A05,84,0.72619047619,0.27380952381,0.68,0.58
SC1,nan,A06,108,0.324074074074,0.675925925926,0.55,0.64
R547,nan,A07,87,0.436781609195,0.563218390805,0.63,0.61
DMSO,nan,A08,167,0.976047904192,0.0239520958084,0.81,0.595
TAK-901,nan,A09,163,0.969325153374,0.0306748466258,0.81,0.61
PLX7904,nan,A10,176,0.982954545455,0.0170454545455,0.84,0.52
TG101348 (SAR302503),nan,A11,85,0.352941176471,0.647058823529,0.6,0.66
DMSO,nan,A12,202,0.980198019802,0.019801980198,0.82,0.57
Tivantinib (ARQ 197),nan,A13,153,0.915032679739,0.0849673202614,0.74,0.6
Butein,nan,A14,167,0.976047904192,0.0239520958084,0.81,0.555
MK-2461,nan,A15,158,0.943037974684,0.0569620253165,0.8,0.55
DMSO,nan,A16,184,0.983695652174,0.0163043478261,0.79,0.58
Dabrafenib (GSK2118436),nan,A17,173,0.965317919075,0.0346820809249,0.81,0.55
DMSO,nan,A18,172,0.96511627907,0.0348837209302,0.82,0.55
TPCA-1,nan,A19,155,0.922580645161,0.0774193548387,0.75,0.545
DMSO,nan,A20,175,0.971428571429,0.0285714285714,0.8,0.54
IKK-16 (IKK Inhibitor VII),nan,A21,82,0.0731707317073,0.926829268293,0.535,0.73
DMSO,nan,A22,188,0.962765957447,0.0372340425532,0.79,0.59
DMSO,nan,A23,176,0.971590909091,0.0284090909091,0.83,0.56
DMSO,nan,A24,169,0.970414201183,0.0295857988166,0.82,0.53
PF-477736,nan,B01,191,0.879581151832,0.120418848168,0.75,0.59
Y-27632 2HCl,nan,B02,169,0.96449704142,0.0355029585799,0.84,0.57
Piceatannol,nan,B03,206,0.883495145631,0.116504854369,0.7,0.55
Avagacestat (BMS-708163),nan,B04,161,0.944099378882,0.055900621118,0.805,0.54
AP26113,nan,B05,138,0.369565217391,0.630434782609,0.6,0.64
TWS119,nan,B06,168,0.988095238095,0.0119047619048,0.81,0.55
PD168393,nan,B07,87,0.51724137931,0.48275862069,0.64,0.595
AZ 960,nan,B08,188,0.952127659574,0.0478723404255,0.8,0.59
RN486,nan,B09,181,0.961325966851,0.0386740331492,0.82,0.56
MK-0752,nan,B10,182,0.983516483516,0.0164835164835,0.79,0.53
AZD3463,nan,B11,84,0.214285714286,0.785714285714,0.58,0.65
CHIR-98014,nan,B12,139,0.748201438849,0.251798561151,0.71,0.63
SSR128129E,nan,B13,177,0.971751412429,0.0282485875706,0.775,0.56
WHI-P154,nan,B14,189,0.962962962963,0.037037037037,0.8,0.55
GF109203X,nan,B15,159,0.874213836478,0.125786163522,0.745,0.57
IWR-1-endo,nan,B16,163,0.957055214724,0.0429447852761,0.83,0.52
FRAX597,nan,B17,155,0.193548387097,0.806451612903,0.62,0.66
BIO,nan,B18,156,0.955128205128,0.0448717948718,0.76,0.55
TG003,nan,B19,175,0.982857142857,0.0171428571429,0.83,0.51
K02288,nan,B20,168,0.988095238095,0.0119047619048,0.805,0.645
KN-62,nan,B21,164,0.987804878049,0.0121951219512,0.83,0.55
Filgotinib (GLPG0634),nan,B22,170,0.970588235294,0.0294117647059,0.82,0.57
DMSO,nan,B23,184,0.978260869565,0.0217391304348,0.815,0.53
DMSO,nan,B24,150,0.993333333333,0.00666666666667,0.81,0.53
Phenformin HCl,nan,C01,191,0.973821989529,0.0261780104712,0.81,0.58
Filgotinib (GLPG0634),nan,C02,185,0.962162162162,0.0378378378378,0.81,0.58
DCC-2036 (Rebastinib),nan,C03,198,0.989898989899,0.010101010101,0.82,0.585
DMSO,nan,C04,193,0.963730569948,0.0362694300518,0.79,0.58
Trametinib (GSK1120212),nan,C05,125,0.592,0.408,0.61,0.59
SU6656,nan,C06,157,0.980891719745,0.0191082802548,0.84,0.58
WAY-600,nan,C07,105,0.809523809524,0.190476190476,0.75,0.57
DMSO,nan,C08,187,0.973262032086,0.0267379679144,0.815,0.62
AMG-900,nan,C09,160,0.90625,0.09375,0.76,0.57
AZD3759,nan,C10,113,0.637168141593,0.362831858407,0.63,0.59
PHA-767491,nan,C11,141,0.539007092199,0.460992907801,0.6,0.6
DMSO,nan,C12,178,0.966292134831,0.0337078651685,0.81,0.56
Varlitinib,nan,C13,195,0.989743589744,0.0102564102564,0.83,0.575
GDC-0349,nan,C14,162,0.962962962963,0.037037037037,0.76,0.545
AZD2014,nan,C15,153,0.934640522876,0.0653594771242,0.77,0.575
DMSO,nan,C16,193,0.984455958549,0.0155440414508,0.82,0.52
GDC-0068,nan,C17,161,0.968944099379,0.0310559006211,0.74,0.58
DMSO,nan,C18,171,0.953216374269,0.046783625731,0.83,0.56
SAR131675,nan,C19,182,0.989010989011,0.010989010989,0.84,0.64
DMSO,nan,C20,151,1.0,0.0,0.82,
PF-562271,nan,C21,135,0.740740740741,0.259259259259,0.66,0.57
DMSO,nan,C22,177,0.977401129944,0.0225988700565,0.82,0.595
DMSO,nan,C23,188,0.968085106383,0.031914893617,0.815,0.575
DMSO,nan,C24,149,1.0,0.0,0.82,
Go 6983,nan,D01,143,0.979020979021,0.020979020979,0.77,0.58
Enzastaurin (LY317615),nan,D02,178,0.966292134831,0.0337078651685,0.82,0.565
Schisandrin B (Sch B),nan,D03,168,0.994047619048,0.00595238095238,0.83,0.52
Ruxolitinib (INCB018424),nan,D04,182,0.967032967033,0.032967032967,0.77,0.62
AZD2932,nan,D05,182,0.978021978022,0.021978021978,0.82,0.56
Semagacestat (LY450139),nan,D06,183,0.956284153005,0.0437158469945,0.81,0.54
CX-6258 HCl,nan,D07,183,0.96174863388,0.0382513661202,0.8,0.6
DAPT (GSI-IX),nan,D08,173,0.953757225434,0.0462427745665,0.78,0.56
