id,factor2
FN1,1.3360138792498497
PLA2G2A,1.1709299783362512
HDGFL3,1.0792217404193825
RAB34,1.0535008294295773
CPVL,0.9938399679434726
IGDCC4,0.9795275644108848
PEG10,0.9531013902613337
PNMA8A,0.8909225057919874
GSDME,0.8708961664711885
APOA2,0.8566748537505933
TM4SF18,0.8549107866389091
F5,0.8348318087856251
SRPX,0.8345152189441875
MLLT11,0.832235081787841
GCNT2,0.8217996434651669
ZNF334,0.8009698237579594
COL18A1,0.7931418873235656
TUB,0.7929866425465691
LNCAROD,0.7878814266102483
TRIM71,0.7843089863527173
IRX3,0.7784230901271626
ANKRD1,0.7742822860416607
SGCE,0.7719456729995491
AMY1A,0.7334741776195892
NAALAD2,0.7247408260407474
PLK2,0.7205827526137718
GPR87,0.7164033933814046
IGFBP7,0.7160882422608676
IGFL2,0.7154561388214398
ITGB2-AS1,0.7130695983098623
GAMT,0.7090554000997759
SLC1A3,0.7054275673636503
OBSL1,0.7051319793007723
ZBED2,0.6965804462054831
DKK1,0.6773405332622647
NFKBIZ,0.676392730905401
RAI14,0.6757893569420323
ASB4,0.6757626366100111
PRKAA2,0.6754153686940361
SATB1,0.671478426096572
FZD2,0.6698584726707594
BEX2,0.6653654459022534
COL27A1,0.6645429937489196
MEGF6,0.6638147109946461
PRSS1,0.6591362030442501
DKK3,0.6585978870504232
MYO5A,0.654876330134312
SLC44A5,0.6525738346495927
CCDC88A,0.6515515495449395
CYP2E1,0.6502035245369894
ABCC2,0.6483480964916404
HECW2-AS1,0.645657666420671
GJA3,0.6429771882524545
DTX3,0.6417782888384024
EMP3,0.641210383643238
TTC30A,0.6412014634172526
UST,0.6411612430288671
F2R,0.6327734649378123
EPHB6,0.6278503821695821
LOXL1-AS1,0.6266970180911182
OLFML3,0.625883654147037
MED6,0.625441779924232
KRT15,0.6253484162089779
PCYT1B,0.624758211877035
GIHCG,0.6246299400067001
RPAIN,0.6140239136028103
HERC5,0.6128940799848712
KRTAP2-3,0.6119242496286473
NANOS1,0.6118127909198431
GNAI1,0.611639706087601
SMARCA1,0.6114564365316467
C20orf194,0.6107672288398719
VGLL1,0.6095065461598603
CCN1,0.609227852297639
CYP1B1,0.6071655900919225
UBASH3B,0.6012637885357103
PROS1,0.6002308136729804
SYTL1,0.6001280240764604
CAP2,0.597195684204298
TNFRSF19,0.5954775543459951
NME5,0.5952460516067907
FUS,0.5952353027665288
PABPC1,0.5940571622031837
RBMS1,0.589897860267814
CHST15,0.5864060180979145
MBNL3,0.5858453234035295
VTCN1,0.5846075384030374
NRG1,0.5843834551328527
L1CAM,0.5842408223761626
TRPC1,0.5836304479792598
TRIM6,0.5783257532429041
FRAS1,0.574158216945951
CAVIN2,0.5739322443452151
FBXO2,0.5728536017394781
NPIPB15,0.5724084230919779
TLCD4,0.5719503359059458
FOXA1,0.5717167477735777
PPP1R9A,0.5690477487631063
EIF1,0.5670526010531466
TMPRSS11E,0.5648028864991919
ATP8B3,0.564639574302169
CCN2,0.5643431481547798
CALB2,0.5641832252948851
FERMT2,0.5638230106529203
NPC1L1,0.5629385503506361
HOMER3,0.5629302109192253
RNF157-AS1,0.5627696222312567
KIRREL1,0.5609319873100735
ARL4C,0.5603350041058669
FZD7,0.557495899375018
PELI2,0.5571312408252252
TGFB1,0.5559790970001788
WIPF3,0.5549696573957207
RGL3,0.5547003371311889
SPATA20,0.5546544695830333
PRKACB,0.5520259955408986
APOBEC3C,0.5517798583478879
MYCN,0.5479880652965518
PLSCR4,0.5469320898831473
SOSTDC1,0.5440960399376898
FBXO17,0.5431390251398587
CTHRC1,0.5428972684869122
RFLNB,0.5427530284012276
SOX6,0.5421989466113951
GJC1,0.540838974094127
KITLG,0.5400827565818345
UCHL1,0.5382795551105529
CD109,0.537687349826797
MIR205HG,0.5353153455050637
CCDC198,0.5352064502293993
SLC4A4,0.5330963812310138
KLHL29,0.5310745981799551
CALD1,0.5310039460635633
KATNAL1,0.5298141962120836
ANGPT1,0.5297690883286261
RAB31,0.5295402904296254
HAS2,0.52893934864510594
COL1A1,0.5285998265902155
TYRO3,0.5282652824714272
CFAP300,0.5269775040493614
C1GALT1C1L,0.5269080101422774
FRMD4A,0.5268192304876351
GULP1,0.5259312444091364
RRAGD,0.5254331657440269
NAP1L2,0.5239462270701698
HEG1,0.5225340516121593
VCAN,0.5220566247175022
FBLN1,0.5204010286689343
C4orf47,0.5190848983955715
ZNF853,0.5188977199876562
PRKCH,0.5186326126748154
CSGALNACT1,0.5165103901868046
PTPN20,0.5163749944263669
SLC20A1,0.5135728485286494
FAM133A,0.5131054184328775
PTPN14,0.5127751354903763
BICC1,0.510784478117183
GPX8,0.5106753219973285
WSB1,0.5101894487459984
SLC4A8,0.5093640537773867
TIMP2,0.5079471031309645
ADCY7,0.5069350243808022
GLYATL1,0.5055855687541352
PIFO,0.5017695347656737
GREB1L,0.5009195845793462
RAB3B,0.4997366332035167
TBC1D9,0.4987612555183694
TTC28,0.49825818650688297
GASK1B,0.4965291109248618
NOC2L,0.49522122618573267
ZG16B,0.4929597006184486
CHROMR,0.48975088494572894
CLDN11,0.4891416470477454
UCP2,0.4890939374753517
TUBA1A,0.48821519359752913
NCAM1,0.4868894381827169
L3MBTL1,0.4860496409925948
MAP3K7CL,0.4849970220337995
FOLR1,0.4845260839014369
CECR2,0.4838347330017735
PROM2,0.48341454485627366
TSPAN4,0.48307179648057724
NABP1,0.48255696263640524
VSIG10L,0.4819731362544183
LPAR3,0.4816773523052407
KLHDC8B,0.48133038106364245
PKP4,0.4807740461988621
SERPINF1,0.4806918036737637
POGZ,0.4803840849998235
DMRTA2,0.47950384335565144
LINC02562,0.4792023949703758
CRIM1-DT,0.47864748244767447
ETFA,0.47781862618613574
