id,factor1
ZSCAN18,-0.01988085803220703
ZSCAN12,-0.14358804846589399
ZPLD2P,-0.36416422016122124
ZNRF2P1,-0.2952638040442455
ZNRF1,0.1536385085871602
ZNHIT6,0.009414794357642019
ZNF93,0.16211710171978466
ZNF880,0.11210531959058209
ZNF879,0.12983581403344888
ZNF853,-0.16660634372911945
ZNF852,0.11457409701114317
ZNF85,-0.016512087116163195
ZNF846,-0.06943328407171848
ZNF83,0.053645368384551737
ZNF829,-0.06005146189132704
ZNF814,0.24184279459186472
ZNF813,0.4044646427666961
ZNF8,0.426413140420018
ZNF793-AS1,0.2156627715967009
ZNF793,0.2565259016399039
ZNF785,-0.2286275841255079
ZNF770,0.10149325373556853
ZNF738,0.2349183459689038
ZNF736,0.018353473044864756
ZNF731P,0.17941466281141952
ZNF718,-0.1728893422181146
ZNF711,0.002908359540851849
ZNF709,-0.08150152370945887
ZNF704,0.014287157833001505
ZNF702P,-0.20609707694472373
ZNF701,0.3906442650514964
ZNF682,-0.15748048287623137
ZNF681,0.04681978389841649
ZNF675,0.006801030840308298
ZNF662,0.10080381872353794
ZNF655,-0.05536355935114792
ZNF625,0.19368313848880234
ZNF618,0.2595809007513483
ZNF616,0.32482761282460926
ZNF610,-0.03915107984370491
ZNF606,0.19396141550317456
ZNF594,-0.3294537937635521
ZNF586,-0.15908389681913893
ZNF570,0.09511620355101545
ZNF569,0.032930233725977996
ZNF568,-0.15435181273255716
ZNF559,0.12177994599973378
ZNF556,-0.30335722120577074
ZNF550,0.1980685645488891
ZNF532,0.05905478648951198
ZNF529-AS1,0.06616232429357811
ZNF518B,-0.2788805114441008
ZNF512B,-0.24820713817555398
ZNF506,0.41143837582118814
ZNF503-AS1,0.016910707903516054
ZNF501,0.02262496635922083
ZNF493,-0.09090454932753925
ZNF492,-0.3183377382235953
ZNF486,0.050095123072563065
ZNF483,0.08826424797123428
ZNF480,0.3273397723775865
ZNF441,0.02515204852494453
ZNF439,-0.07073929465218337
ZNF43,0.10714143812397901
ZNF429,-0.3100231091413851
ZNF423,0.14075418396048237
ZNF415,-0.07487567539081824
ZNF404,0.16091204028615078
ZNF396,0.009116397053677828
ZNF37BP,0.12888499733342415
ZNF37A,-0.03757803400299687
ZNF365,-0.049732779485506765
ZNF354C,0.19285222517870057
ZNF350,0.19788571163344945
ZNF347,0.3035780976667539
ZNF345,0.013062226493510656
ZNF334,0.012199693351800224
ZNF333,0.11310508285788225
ZNF331,0.1713931529000647
ZNF329,-0.01885136176307265
ZNF321P,-0.16023756598043365
ZNF320,0.007947600446497179
ZNF311,0.08831556948100848
ZNF304,-0.27328118658914335
ZNF300,-0.28836375718020163
ZNF285,0.1914699502540826
ZNF264,0.08030157425464186
ZNF256,0.11077546049673925
ZNF254,-0.15497514899057577
ZNF24,-0.06310473794326266
ZNF233,-0.03752495425040752
ZNF215,0.09266224707730636
ZNF214,0.029969752822498894
ZNF177,0.12508108523668762
ZNF141,0.02229956360002931
ZNF134,0.16140962837979403
ZNF124,0.38868590384386503
ZNF117,0.06925085805627805
ZNF114,-0.06295957865613776
ZMYND8,0.11082275171003549
ZMYND12,0.1500324340696776
ZMYND11,-0.028183272309635535
ZMYM2,0.12145418754289632
ZMAT3,0.5476959565325438
ZKSCAN7,-0.25405711799606434
ZIC5,0.13029238538892482
ZIC2,0.4027614606272446
ZG16B,-0.009684135949020763
ZFYVE28,-0.20589742447859166
ZFYVE16,0.2338744034735332
ZFY-AS1,-0.11661152661336531
ZFY,-0.3364884406956421
ZFP82,0.048342668672296786
ZFP69B,0.022569341842166354
ZFP42,-0.09550281889085312
ZFP37,-0.07745417436203092
ZFP36L1,0.37828405337547294
ZFP28,-0.16826837759734575
ZFP2,0.12940143549134317
ZFAND4,-0.13865251188679145
ZFAND2A-DT,-0.0757046426169173
ZEB1-AS1,-0.0680376430768726
ZDHHC2,-0.15696246840455286
ZDHHC11,-0.1526016995415139
ZDBF2,0.22842921807335453
ZCCHC24,0.33344289123007503
ZCCHC18,0.13675935950503404
ZCCHC12,-0.22718573485457366
ZC3HAV1L,0.3104683070166894
ZC3H6,0.05086584167318421
ZC3H14,-0.033097966846603315
ZC3H12D,-0.0748278426264572
ZC3H12C,-0.08154810336280638
ZC2HC1A,-0.21277866561769587
ZBTB7C,0.09475163954215068
ZBTB47,-0.016484359073824513
ZBTB46,0.6317936944169849
ZBTB44,-0.3278618593945107
ZBTB37,0.26443177486362857
ZBTB20,-0.0949972466663623
ZBTB10,-0.39737967890752146
ZBTB1,0.1895618376443537
ZBED9,-3.263378184244547e-4
ZBED3-AS1,0.019534262904896328
ZBED2,-0.03830469354830641
ZAP70,0.08717920977040869
YTHDC2,0.28090449499877784
YTHDC1,0.07012277571678331
YOD1,0.19470481360797487
YJEFN3,0.12904921882566806
YAF2,0.26346167867047654
XRN1,-0.16049423679100824
XRCC4,0.5412908922307615
XPO7,0.028096554442827833
XPNPEP2,-0.37292860894154434
XK,-0.7183515502282939
XIST,0.3245001051322705
XGY2,0.1617562038235312
XG,0.11646080732906998
XDH,-0.3579268346687962
XCL1,-0.42164368678331166
XAGE2,-0.2117166048777055
XAF1,0.006400510236014152
WWTR1,0.32147907027638534
WWC2,0.12373446907566957
